class,mean,CI1,CI2,N,label
color,0.080645161290322578,0.016129032258064516,0.14516129032258066,62,"child-directed, 3, not binned"
age,0.32258064516129031,0.16129032258064516,0.4838709677419355,31,"child-directed, 3, not binned"
material,0.0,0.0,0.0,3,"child-directed, 3, not binned"
value,0.83006535947712423,0.75163398692810457,0.87581699346405228,153,"child-directed, 3, not binned"
shape,0.0,0.0,0.0,7,"child-directed, 3, not binned"
dimension,0.41296928327645049,0.35494880546075086,0.46416382252559729,293,"child-directed, 3, not binned"
physical,0.125,0.0,0.375,8,"child-directed, 3, not binned"
color,0.18181818181818182,0.045454545454545456,0.31818181818181818,22,"child-produced, 3, not binned"
age,0.1111111111111111,0.0,0.22222222222222221,27,"child-produced, 3, not binned"
material,0.0,0.0,0.0,1,"child-produced, 3, not binned"
value,0.625,0.40625,0.75,32,"child-produced, 3, not binned"
shape,0.0,0.0,0.0,1,"child-produced, 3, not binned"
dimension,0.53591160220994472,0.4585635359116022,0.60220994475138123,181,"child-produced, 3, not binned"
physical,0.25,0.0,0.5,4,"child-produced, 3, not binned"
dimension-age-physical,0.39759036144578314,0.34337349397590361,0.44879518072289154,332,"child-directed, 3, binned"
value,0.83006535947712423,0.75816993464052285,0.88235294117647056,153,"child-directed, 3, binned"
shape-color-material,0.069444444444444448,0.013888888888888888,0.125,72,"child-directed, 3, binned"
dimension-age-physical,0.47641509433962265,0.40566037735849059,0.53773584905660377,212,"child-produced, 3, binned"
value,0.625,0.40625,0.75,32,"child-produced, 3, binned"
shape-color-material,0.16666666666666666,0.041666666666666664,0.29166666666666669,24,"child-produced, 3, binned"
