class,mean,CI1,CI2,N,label,binned,age
color,0.270833333,0.125,0.4375,48,directed,no,4
age,0.454545455,0.227272727,0.681818182,22,directed,no,4
material,0,0,0,2,directed,no,4
value,0.829787234,0.712765957,0.925531915,94,directed,no,4
shape,0,0,0,2,directed,no,4
dimension,0.493273543,0.417040359,0.565022422,223,directed,no,4
physical,0.2,0,0.4,5,directed,no,4
color,0.333333333,0.111111111,0.592592593,27,produced,no,4
age,0.217391304,0.043478261,0.434782609,23,produced,no,4
material,NA,NA,NA,0,produced,no,4
value,0.682926829,0.512195122,0.780487805,41,produced,no,4
shape,0,0,0,1,produced,no,4
dimension,0.615384615,0.504273504,0.709401709,117,produced,no,4
physical,0,0,0,2,produced,no,4
dimension-age-physical,0.484,0.412,0.552,250,directed,yes,4
value,0.829787234,0.712765957,0.925531915,94,directed,yes,4
shape-color-material,0.25,0.115384615,0.403846154,52,directed,yes,4
dimension-age-physical,0.542253521,0.443661972,0.633802817,142,produced,yes,4
value,0.682926829,0.487804878,0.780487805,41,produced,yes,4
shape-color-material,0.321428571,0.107142857,0.571428571,28,produced,yes,4
