word,av.distance,overlap,age,child p or d,tokens,semantic class
cute,0.75,0,3,directed,4,other
soggy,1,0,3,directed,1,other
gold,0,1,3,directed,1,color
less,0,0,3,directed,1,other
TRUE,1,0,3,directed,1,other
yellow,0.125,1,3,directed,8,color
lonely,1,0,3,directed,2,other
bright,0.428571429,0,3,directed,7,other
rough,1,0,3,directed,1,physical
perfect,1,0,3,directed,1,other
just,1,0,3,directed,3,other
rose,0,0,3,directed,1,other
late,1,0,3,directed,2,other
black,0,1,3,directed,4,color
pretty,1,0,3,directed,28,other
nifty,1,0,3,directed,1,other
orange,0,0,3,directed,1,color
sorry,1,0,3,directed,1,other
east,0,0,3,directed,1,other
smart,0.5,0,3,directed,4,other
real,0.916666667,0,3,directed,12,other
brown,0,0,3,directed,10,color
good,0.527777778,0,3,directed,36,value
tubby,0,0,3,directed,1,dimension
big,0.641025641,0,3,directed,78,dimension
fat,0,0,3,directed,4,dimension
dark,1,0,3,directed,1,other
awful,1,0,3,directed,2,value
bit,0,0,3,directed,5,other
silver,0,0,3,directed,1,color
special,1,0,3,directed,1,other
fluff,0,0,3,directed,2,other
fragile,0,0,3,directed,1,other
bad,0,0,3,directed,5,value
fuzz,0,0,3,directed,1,other
small,0.5,0,3,directed,4,dimension
soft,0,0,3,directed,3,physical
round,0,0,3,directed,4,shape
mean,1,0,3,directed,5,other
heavy,0,0,3,directed,2,other
square,0,1,3,directed,1,shape
old,0.1875,1,3,directed,16,age
ole,0,0,3,directed,1,age
hard,0,0,3,directed,1,physical
bounce,0,0,3,directed,1,other
sex,0,0,3,directed,1,other
born,0,0,3,directed,1,other
proper,1,0,3,directed,2,other
cold,0,0,3,directed,2,other
creep,1,0,3,directed,2,other
wonder,1,0,3,directed,2,other
even,1,0,3,directed,2,other
eensie,1,0,3,directed,1,dimension
jolly,1,0,3,directed,2,other
teeny,0.625,0,3,directed,8,dimension
sparkle,0,0,3,directed,1,other
stupid,1,0,3,directed,2,other
horrible,1,0,3,directed,1,value
new,0.555555556,1,3,directed,9,age
red,0,1,3,directed,10,color
full,0,0,3,directed,1,other
pathetic,0,0,3,directed,1,other
little,0.353741497,0,3,directed,147,dimension
free,1,0,3,directed,1,other
french,0,0,3,directed,1,other
merry,1,0,3,directed,1,other
strong,0.333333333,0,3,directed,3,other
super,0,0,3,directed,1,other
shine,0.428571429,0,3,directed,7,other
great,1,0,3,directed,17,value
last,0,1,3,directed,8,other
brilliant,1,0,3,directed,1,value
quiet,0,0,3,directed,1,other
important,0,0,3,directed,1,other
whole,1,0,3,directed,1,other
golden,0,0,3,directed,1,color
naughty,1,0,3,directed,5,other
love,1,0,3,directed,7,other
dulcet,0,0,3,directed,1,other
sweet,1,1,3,directed,4,other
pot,0,0,3,directed,1,other
fancy,1,0,3,directed,1,other
crawl,0,0,3,directed,2,other
fast,0,1,3,directed,1,other
oval,0,0,3,directed,2,shape
next,0.5,0,3,directed,2,other
upstairs,0,0,3,directed,1,other
use,0,0,3,directed,1,other
ancient,1,0,3,directed,1,age
damp,0,0,3,directed,1,physical
comfy,0,0,3,directed,1,other
long,0.142857143,1,3,directed,14,dimension
plastic,0,0,3,directed,2,material
live,0,0,3,directed,2,other
white,0.2,1,3,directed,5,color
empty,1,0,3,directed,1,other
wicked,0,0,3,directed,2,other
flat,0,0,3,directed,1,dimension
head,0,0,3,directed,1,other
sleeved,0,0,3,directed,1,other
flap,0,0,3,directed,1,other
warm,1,0,3,directed,1,other
dead,0,0,3,directed,1,age
spin,0,0,3,directed,1,other
spice,0,0,3,directed,1,other
wool,0,0,3,directed,1,material
plain,0,1,3,directed,1,other
straight,0,0,3,directed,1,other
pretend,0,0,3,directed,1,other
smooth,0,1,3,directed,1,physical
grey,0,0,3,directed,4,color
slippery,1,0,3,directed,1,other
thin,0.333333333,1,3,directed,3,dimension
fun,0.8,0,3,directed,5,other
happy,0.875,0,3,directed,8,other
beautiful,0.727272727,0,3,directed,11,other
weensie,0,0,3,directed,1,dimension
high,0,0,3,directed,2,other
gentle,0,0,3,directed,1,other
tiny,0.333333333,0,3,directed,21,dimension
fashioned,1,0,3,directed,1,other
ready,1,0,3,directed,1,other
sharp,0,0,3,directed,1,physical
pink,0.333333333,0,3,directed,3,color
huge,0.2,0,3,directed,5,dimension
clever,0,0,3,directed,1,other
cross,0,0,3,directed,3,other
hot,0.357142857,0,3,directed,14,other
cosy,0,0,3,directed,1,other
sick,1,0,3,directed,1,other
grand,1,0,3,directed,1,value
nice,0.940298507,0,3,directed,67,value
poor,1,0,3,directed,23,value
blue,0,1,3,directed,5,color
shade,0,0,3,directed,1,other
flip,1,0,3,directed,1,other
neat,0.25,0,3,directed,4,other
rain,0,0,3,directed,1,other
flower,0,0,3,directed,1,other
tall,0,0,3,directed,2,dimension
fierce,0,0,3,directed,1,other
puss,0,0,3,directed,1,other
third,0,0,3,directed,6,other
loud,1,0,3,directed,1,other
cheek,1,0,3,directed,2,other
steady,0,0,3,directed,1,other
fresh,0.333333333,0,3,directed,3,age
green,0.222222222,1,3,directed,9,color
clean,0.5,0,3,directed,2,other
english,0,1,3,directed,1,other
innocent,0,0,3,directed,2,other
weeny,0,0,3,directed,3,dimension
cute,1,0,3,produced,2,other
soggy,1,0,3,produced,1,other
just,1,0,3,produced,3,other
yellow,0.333333333,1,3,produced,3,color
own,0.666666667,0,3,produced,3,other
skin,0,0,3,produced,1,other
still,1,0,3,produced,1,other
nasty,0,0,3,produced,1,value
black,0,1,3,produced,2,color
pretty,0.8,0,3,produced,5,other
sweet,1,1,3,produced,2,other
real,1,0,3,produced,11,other
dandy,0,0,3,produced,2,other
good,0.428571429,0,3,produced,7,value
big,0.793103448,0,3,produced,58,dimension
fat,0.5,0,3,produced,10,dimension
bit,0,0,3,produced,1,other
handy,1,0,3,produced,2,other
wooden,0,1,3,produced,1,material
large,0,1,3,produced,1,dimension
bad,0.25,0,3,produced,8,value
stupid,1,0,3,produced,6,other
quick,0,0,3,produced,1,other
soft,0,0,3,produced,1,physical
round,0,0,3,produced,1,shape
mean,1,0,3,produced,2,other
heavy,0,0,3,produced,1,other
old,0.095238095,1,3,produced,21,age
upstairs,0,0,3,produced,1,other
back,1,0,3,produced,1,other
dumb,1,0,3,produced,1,other
creep,1,0,3,produced,2,other
wonder,1,0,3,produced,1,other
blue,0,1,3,produced,3,color
eensie,1,0,3,produced,2,dimension
horrid,1,0,3,produced,1,value
slick,0,0,3,produced,1,other
teeny,1,0,3,produced,8,dimension
rotten,0,0,3,produced,1,age
new,0.25,1,3,produced,4,age
red,0.5,1,3,produced,4,color
full,0,0,3,produced,1,other
dirt,1,0,3,produced,1,other
small,0,0,3,produced,4,dimension
strong,0.333333333,0,3,produced,3,other
great,1,0,3,produced,1,value
whole,1,0,3,produced,1,other
south,0,0,3,produced,1,other
first,1,0,3,produced,1,other
teenage,0,0,3,produced,1,age
naughty,1,0,3,produced,1,other
love,0,0,3,produced,1,other
weensie,0,0,3,produced,2,dimension
tiny,0.238095238,0,3,produced,21,dimension
wan,1,0,3,produced,1,other
little,0.517857143,0,3,produced,56,dimension
long,0.166666667,1,3,produced,6,dimension
next,0,0,3,produced,1,other
white,0,1,3,produced,1,color
wicked,0.333333333,0,3,produced,3,other
yuck,0,0,3,produced,3,other
flap,0,0,3,produced,1,other
wet,1,0,3,produced,1,physical
crawl,0,0,3,produced,2,other
plain,1,1,3,produced,1,other
flip,1,0,3,produced,1,other
ugly,0,0,3,produced,1,other
silly,0,0,3,produced,1,other
thin,0,1,3,produced,1,dimension
fun,0.75,0,3,produced,8,other
beautiful,0,0,3,produced,1,other
stink,1,0,3,produced,2,other
brown,0,0,3,produced,4,color
high,0,0,3,produced,3,other
fashioned,1,0,3,produced,1,other
ready,1,0,3,produced,3,other
sharp,0,0,3,produced,2,physical
craze,1,0,3,produced,2,other
pink,1,0,3,produced,1,color
huge,0,0,3,produced,4,dimension
itsy,1,0,3,produced,1,dimension
cross,0,0,3,produced,3,other
hot,0.75,0,3,produced,4,other
crummy,1,0,3,produced,1,value
sick,0,0,3,produced,1,other
ordinary,0,0,3,produced,1,other
smell,0,0,3,produced,1,other
nice,0.923076923,0,3,produced,13,value
even,1,0,3,produced,1,other
mess,0,0,3,produced,1,other
bitsy,0,0,3,produced,1,dimension
cheek,1,0,3,produced,1,other
steady,0,0,3,produced,3,other
wink,0,0,3,produced,2,other
green,0,1,3,produced,4,color
clean,0,0,3,produced,5,other
wine,0,0,3,produced,1,other
weeny,0,0,3,produced,6,dimension
