word,av.distance,overlap,age,child p or d
cute,1.0,0,4,directed
chinese,1.0,0,4,directed
less,0.0,0,4,directed
slime,0.0,0,4,directed
yellow,0.0,1,4,directed
front,0.0,0,4,directed
bright,1.0,0,4,directed
skin,0.0,0,4,directed
slow,0.0,1,4,directed
just,0.6666666666666666,0,4,directed
young,0.0,1,4,directed
late,1.0,0,4,directed
jam,0.0,0,4,directed
black,0.0,1,4,directed
pretty,0.9473684210526315,0,4,directed
orange,0.4,0,4,directed
east,0.0,0,4,directed
smart,0.0,0,4,directed
real,1.0,0,4,directed
brown,0.0,0,4,directed
good,0.3,0,4,directed
big,0.7,0,4,directed
fat,0.0,0,4,directed
awful,1.0,0,4,directed
bit,0.0,0,4,directed
silver,0.0,0,4,directed
cool,0.3333333333333333,0,4,directed
fluff,0.0,0,4,directed
correct,1.0,0,4,directed
bad,0.0,0,4,directed
small,1.0,0,4,directed
soft,0.3333333333333333,0,4,directed
mean,1.0,0,4,directed
heavy,1.0,0,4,directed
square,0.0,1,4,directed
old,0.42857142857142855,1,4,directed
chunk,1.0,0,4,directed
hard,0.0,0,4,directed
back,0.0,0,4,directed
dead,0.0,0,4,directed
dumb,0.0,0,4,directed
dear,1.0,0,4,directed
special,1.0,0,4,directed
blue,0.5,1,4,directed
purple,0.0,1,4,directed
crust,0.0,0,4,directed
jolly,1.0,0,4,directed
teeny,0.6666666666666666,0,4,directed
rotten,0.5,0,4,directed
health,0.0,0,4,directed
new,0.25,1,4,directed
bird,0.0,0,4,directed
red,0.16666666666666666,1,4,directed
dirt,1.0,0,4,directed
wild,0.0,0,4,directed
busy,1.0,0,4,directed
strong,0.0,0,4,directed
shine,0.25,0,4,directed
great,0.9,0,4,directed
central,0.0,0,4,directed
quiet,0.0,0,4,directed
american,0.5,0,4,directed
loud,0.0,0,4,directed
first,0.0,0,4,directed
cheese,0.6666666666666666,0,4,directed
naughty,1.0,0,4,directed
love,1.0,0,4,directed
fancy,0.0,0,4,directed
brave,1.0,0,4,directed
long,0.25,1,4,directed
thick,0.0,1,4,directed
little,0.31313131313131315,0,4,directed
wobble,0.0,0,4,directed
tiny,0.5,0,4,directed
plastic,0.0,0,4,directed
live,0.6,0,4,directed
shiver,1.0,0,4,directed
white,0.2,1,4,directed
happy,1.0,0,4,directed
flat,0.0,0,4,directed
yuck,0.0,0,4,directed
tawny,0.0,0,4,directed
brand,1.0,0,4,directed
warm,0.0,0,4,directed
crank,0.0,0,4,directed
western,0.0,0,4,directed
last,0.0,1,4,directed
gold,0.0,1,4,directed
glitzy,1.0,0,4,directed
chatter,0.0,0,4,directed
funk,0.0,0,4,directed
fleece,0.0,0,4,directed
wool,0.0,0,4,directed
gentle,0.0,0,4,directed
double,0.0,0,4,directed
pretend,0.0,0,4,directed
grey,0.5,0,4,directed
silly,0.0,0,4,directed
thin,0.0,1,4,directed
fun,0.8571428571428571,0,4,directed
glottal,0.0,0,4,directed
beautiful,0.6666666666666666,0,4,directed
sad,0.5,1,4,directed
juice,0.0,0,4,directed
right,1.0,0,4,directed
sharp,0.0,0,4,directed
craze,1.0,0,4,directed
huge,0.5,0,4,directed
itsy,1.0,0,4,directed
cross,0.0,0,4,directed
same,1.0,0,4,directed
hot,0.4,0,4,directed
sick,1.0,0,4,directed
grand,1.0,0,4,directed
soap,0.0,0,4,directed
nice,1.0,0,4,directed
poor,1.0,0,4,directed
okay,1.0,0,4,directed
sneak,1.0,0,4,directed
wrong,1.0,0,4,directed
misshapen,0.0,0,4,directed
bitsy,0.0,0,4,directed
stripe,0.0,0,4,directed
tall,0.7142857142857143,0,4,directed
short,0.5,0,4,directed
natural,0.0,0,4,directed
light,0.6666666666666666,0,4,directed
clear,0.0,0,4,directed
cheek,1.0,0,4,directed
craft,1.0,0,4,directed
green,0.09090909090909091,1,4,directed
clean,0.0,0,4,directed
english,0.3333333333333333,1,4,directed
alright,0.6666666666666666,0,4,directed
fresh,1.0,0,4,directed
left,0.0,0,4,directed
weeny,0.0,0,4,directed
cute,0.0,0,4,produced
naughty,0.0,0,4,produced
old,0.06666666666666667,1,4,produced
ole,0.0,0,4,produced
just,1.0,0,4,produced
cheese,0.0,0,4,produced
sweet,0.0,1,4,produced
back,0.0,0,4,produced
yellow,0.3333333333333333,1,4,produced
cross,0.0,0,4,produced
blue,1.0,1,4,produced
awful,1.0,0,4,produced
bright,0.0,0,4,produced
right,0.0,0,4,produced
through,0.0,0,4,produced
tiny,0.0,0,4,produced
dear,1.0,0,4,produced
sharp,0.0,0,4,produced
next,0.0,0,4,produced
open,0.0,1,4,produced
special,1.0,0,4,produced
pink,0.0,0,4,produced
teeny,0.2,0,4,produced
little,0.5681818181818182,0,4,produced
busy,0.6666666666666666,0,4,produced
lemon,0.0,0,4,produced
nice,0.875,0,4,produced
tough,0.0,0,4,produced
wobble,0.0,0,4,produced
royal,0.0,0,4,produced
slick,1.0,0,4,produced
long,0.0,1,4,produced
jolly,1.0,0,4,produced
late,1.0,0,4,produced
live,1.0,0,4,produced
quiet,0.0,0,4,produced
black,0.0,1,4,produced
wide,1.0,0,4,produced
new,0.25,1,4,produced
cool,1.0,0,4,produced
snuggle,0.0,0,4,produced
soap,0.0,0,4,produced
red,0.14285714285714285,1,4,produced
wicked,1.0,0,4,produced
poor,1.0,0,4,produced
brown,0.2,0,4,produced
head,0.0,0,4,produced
good,0.3333333333333333,0,4,produced
crash,1.0,0,4,produced
dirt,0.75,0,4,produced
big,0.8478260869565217,0,4,produced
brand,1.0,0,4,produced
frost,0.0,0,4,produced
fun,0.0,0,4,produced
fat,0.0,0,4,produced
boss,0.0,0,4,produced
wild,0.0,0,4,produced
spare,0.0,0,4,produced
french,0.0,0,4,produced
same,1.0,0,4,produced
own,1.0,0,4,produced
quick,0.0,0,4,produced
strong,0.0,0,4,produced
dead,0.5,0,4,produced
real,1.0,0,4,produced
gray,0.0,0,4,produced
great,0.5,0,4,produced
last,0.0,1,4,produced
round,0.0,0,4,produced
even,1.0,0,4,produced
smell,0.6666666666666666,0,4,produced
rowdy,1.0,0,4,produced
grey,0.0,0,4,produced
hot,0.3333333333333333,0,4,produced
large,0.0,1,4,produced
ugly,0.0,0,4,produced
bad,0.5,0,4,produced
stupid,1.0,0,4,produced
green,0.0,1,4,produced
light,1.0,0,4,produced
small,1.0,0,4,produced
