date,workerid,amount
Fri Nov 02 19:59:24 PDT 2018,A3CGDCXIOVQNE6,0.3
Fri Nov 02 19:59:40 PDT 2018,A2BXZN6NV3TWGY,0.3
Fri Nov 02 20:00:08 PDT 2018,A3TDA1NWHNQFE3,0.3
Fri Nov 02 20:01:13 PDT 2018,A37CO0N1KC1CDW,0.3
Fri Nov 02 20:01:18 PDT 2018,AH3OMGT9KVYA3,0.3
Fri Nov 02 20:01:44 PDT 2018,A2SPZ28VQVF73I,0.3
Fri Nov 02 20:23:50 PDT 2018,A31A4YKVSOYRVS,0.3
Fri Nov 02 20:32:31 PDT 2018,AH9Y3W3PJGG32,0.3
Fri Nov 02 20:35:52 PDT 2018,A3KA3A3M7LPMPA,0.3
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
