workerid,class,predicate,slide_number,response
0,location,northern,3,0.62
0,value,average,4,0.96
0,physical,solid,5,0.27
0,age,elderly,6,0.29
0,dimension,massive,7,0.53
0,other,technical,8,0.84
0,value,easy,9,0.74
0,location,far,10,1
0,other,statutory,11,0.38
0,value,nice,12,0.98
0,value,positive,13,0.94
0,other,military,14,0.32
0,color,blonde,15,0.22
0,temporal,future,16,0.59
0,other,civil,17,0.75
0,age,senior,18,0.8
0,location,internal,19,0.35
0,value,common,20,0.6
0,value,major,21,0.72
0,other,democratic,22,0.53
0,other,voluntary,23,0.39
0,value,significant,24,0.78
0,value,gross,25,1
0,value,expensive,26,0.77
0,value,cheap,27,0.76
0,temporal,current,28,0.4
0,value,comfortable,29,0.69
0,value,necessary,30,0.35
0,other,specific,31,0.65
0,other,complete,32,0.64
1,value,gross,3,0.88
1,other,economic,4,0.44
1,value,basic,5,0.31
1,other,complete,6,0.7
1,value,easy,7,0.8
1,temporal,current,8,0.7
1,other,commercial,9,0.48
1,other,military,10,0.3
1,other,specific,11,0.63
1,value,necessary,12,0.74
1,value,significant,13,0.5
1,temporal,recent,14,0.75
1,value,fine,15,0.23
1,other,public,16,0.46
1,value,cheap,17,0.78
1,other,environmental,18,0.28
1,nationality,British,19,0.78
1,location,far,20,0.64
1,nationality,european,21,0.32
1,age,senior,22,0.77
1,other,democratic,23,0.85
1,other,parliamentary,24,0.61
1,value,pure,25,0.17
1,value,boring,26,0.36
1,other,legal,27,0.15
1,location,inner,28,0.58
1,value,important,29,0.87
1,nationality,international,30,0.75
1,location,local,31,0.87
1,location,regional,32,0.61
2,location,far,3,0.74
2,value,simple,4,0.8
2,other,technical,5,0.79
2,nationality,international,6,0.14
2,other,environmental,7,0.14
2,value,cheap,8,0.48
2,value,useful,9,0.45
2,other,general,10,0.37
2,dimension,deep,11,0.65
2,value,fine,12,0.75
2,value,excellent,13,0.72
2,location,local,14,0.73
2,other,individual,15,0.65
2,temporal,recent,16,0.4
2,dimension,enormous,17,0.36
2,location,outer,18,0.48
2,dimension,massive,19,0.63
2,value,normal,20,0.64
2,age,elderly,21,0.26
2,value,basic,22,0.62
2,value,negative,23,0.43
2,value,common,24,0.54
2,value,practical,25,0.28
2,other,military,26,0.23
2,value,minor,27,0.62
2,age,senior,28,0.29
2,value,easy,29,0.82
2,other,parliamentary,30,0.17
2,other,statutory,31,0.19
2,other,economic,32,0.29
3,value,nice,3,0.86
3,location,local,4,0.21
3,other,political,5,0.19
3,value,best,6,0.97
3,value,fine,7,0.83
3,value,necessary,8,0.77
3,other,voluntary,9,0.15
3,temporal,current,10,0.14
3,value,important,11,0.84
3,value,simple,12,0.86
3,value,pure,13,0.17
3,value,difficult,14,0.86
3,physical,solid,15,0.11
3,nationality,international,16,0.13
3,value,basic,17,0.77
3,other,agricultural,18,0.13
3,other,economic,19,0.84
3,other,individual,20,0.14
3,temporal,recent,21,0.58
3,other,public,22,0.23
3,value,cheap,23,0.84
3,other,civil,24,0.35
3,other,military,25,0.11
3,value,positive,26,0.87
3,other,complete,27,0.26
3,other,legal,28,0.2
3,location,internal,29,0.2
3,value,common,30,0.86
3,other,democratic,31,0.84
3,other,technical,32,0.31
4,nationality,european,3,0.03
4,temporal,future,4,0.63
4,value,negative,5,0.56
4,other,statutory,6,0.28
4,other,complete,7,0.14
4,value,cheap,8,0.51
4,age,elderly,9,0.19
4,location,internal,10,0.1
4,human,funny,11,0.9
4,location,far,12,0.54
4,value,comfortable,13,0.73
4,value,nice,14,0.83
4,value,normal,15,0.33
4,other,technical,16,0.28
4,dimension,massive,17,0.56
4,other,public,18,0.23
4,temporal,current,19,0.25
4,other,voluntary,20,0.19
4,value,difficult,21,0.66
4,location,northern,22,0.09
4,other,democratic,23,0.38
4,value,necessary,24,0.62
4,other,parliamentary,25,0.09
4,other,civil,26,0.35
4,other,agricultural,27,0.14
4,location,outer,28,0.19
4,location,inner,29,0.17
4,value,pure,30,0.41
4,dimension,enormous,31,0.56
4,value,excellent,32,0.73
5,location,northern,3,0.09
5,other,civil,4,0.62
5,other,economic,5,0.27
5,value,gross,6,0.81
5,value,significant,7,0.95
5,value,excellent,8,0.96
5,value,minor,9,0.8
5,other,voluntary,10,0.53
5,physical,solid,11,0.25
5,other,commercial,12,0.53
5,location,inner,13,0.49
5,value,negative,14,0.75
5,value,normal,15,0.95
5,value,difficult,16,0.93
5,value,boring,17,0.87
5,value,comfortable,18,0.92
5,value,positive,19,0.83
5,other,individual,20,0.37
5,location,regional,21,0.4
5,age,elderly,22,0.48
5,other,parliamentary,23,0.2
5,temporal,future,24,0.71
5,human,funny,25,0.94
5,other,public,26,0.61
5,nationality,international,27,0.39
5,nationality,British,28,0.14
5,other,political,29,0.38
5,value,cheap,30,0.83
5,value,simple,31,0.94
5,location,outer,32,0.41
6,nationality,British,3,0.26
6,location,inner,4,0.97
6,value,nice,5,1
6,nationality,european,6,0.16
6,value,necessary,7,0.24
6,temporal,current,8,0
6,location,outer,9,0
6,value,difficult,10,0.75
6,other,democratic,11,0.27
6,human,funny,12,1
6,value,basic,13,0
6,other,environmental,14,0.01
6,value,significant,15,0
6,physical,solid,16,0
6,other,commercial,17,0
6,dimension,massive,18,0.29
6,location,regional,19,0
6,value,comfortable,20,1
6,location,north,21,0
6,value,easy,22,1
6,value,major,23,0.21
6,color,blonde,24,0.09
6,other,public,25,0
6,other,agricultural,26,0
6,value,fine,27,0.29
6,other,individual,28,1
6,value,minor,29,0.1
6,temporal,future,30,0
6,age,elderly,31,0.05
6,other,economic,32,0.01
7,location,outer,3,0.7
7,dimension,massive,4,0.5
7,value,gross,5,0.9
7,location,inner,6,0.54
7,value,major,7,0.7
7,temporal,future,8,0.63
7,other,industrial,9,0.29
7,age,elderly,10,0.44
7,value,average,11,0.64
7,other,parliamentary,12,0.23
7,other,economic,13,0.38
7,temporal,current,14,0.65
7,value,pure,15,0.89
7,location,far,16,0.73
7,value,excellent,17,0.61
7,value,common,18,0.72
7,value,useful,19,0.53
7,value,simple,20,0.47
7,other,voluntary,21,0.41
7,other,democratic,22,0.48
7,color,blonde,23,0.31
7,location,north,24,0.47
7,other,legal,25,0.26
7,value,cheap,26,0.7
7,age,senior,27,0.46
7,nationality,european,28,0.38
7,value,best,29,0.91
7,value,comfortable,30,0.7
7,location,regional,31,0.29
7,nationality,international,32,0.47
8,other,democratic,3,0.37
8,value,practical,4,0.76
8,temporal,current,5,0.34
8,value,cheap,6,0.61
8,other,parliamentary,7,0.49
8,dimension,deep,8,0.51
8,other,technical,9,0.63
8,value,expensive,10,0.32
8,value,basic,11,0.6
8,value,boring,12,0.72
8,temporal,future,13,0.55
8,location,regional,14,0.52
8,location,far,15,0.59
8,other,commercial,16,0.66
8,value,difficult,17,0.7
8,location,outer,18,0.4
8,location,north,19,0.48
8,value,normal,20,0.62
8,physical,solid,21,0.38
8,age,senior,22,0.44
8,nationality,european,23,0.43
8,value,simple,24,0.71
8,other,specific,25,0.47
8,other,civil,26,0.53
8,value,negative,27,0.66
8,other,complete,28,0.66
8,other,financial,29,0.24
8,value,excellent,30,0.71
8,human,funny,31,0.71
8,other,voluntary,32,0.65
