workerid,class,predicate,slide_number,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,age,senior,3,1,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,other,voluntary,4,0.09,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,dimension,massive,5,0.76,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,value,practical,6,0.17,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,value,simple,7,0.75,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,human,funny,8,0.61,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,other,financial,9,0.17,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,dimension,deep,10,0.08,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,location,outer,11,0.73,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
0,other,statutory,12,0.76,"English, Spanish",1,Male,25,,Yes,3,Mac,800,1280,Safari,3QO7EE372OSI56CUEDSRMAB3EVJQB7,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Fri Nov 02 22:54:35 PDT 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 02 21:54:35 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3QO7EE372OSI56CUEDSRMAB3EVJQB7,3TS1AR6UQRJ0ZPHPDIBJTTGFVLNF75,0,Submitted,Sat Nov 03 15:37:08 PDT 2018,Fri Nov 02 22:55:06 PDT 2018,Fri Nov 02 22:57:08 PDT 2018,,,,,,[],1.9300666666666666
