date,workerid,amount
Fri Nov 24 13:01:04 PST 2017,A1OBB3PWYWK9KK,1.25
Fri Nov 24 13:02:06 PST 2017,A1KRO0JWU6LT0I,1.25
Fri Nov 24 13:05:53 PST 2017,AAMJBLQ8NUOTO,1.25
Fri Nov 24 13:06:48 PST 2017,A1C3BA8YM85B4Q,1.25
Fri Nov 24 13:08:44 PST 2017,AZLDM1AFYKMX0,1.25
Fri Nov 24 13:16:23 PST 2017,A12H0UMF83VDNG,1.25
Fri Nov 24 13:25:00 PST 2017,A3LT7W355XOAKF,1.25
Fri Nov 24 13:38:46 PST 2017,A2C2AWPUMKZPJ4,1.25
Fri Nov 24 14:14:35 PST 2017,A2LV5432PV1S39,1.25
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
