workerid,class,predicate,slide_number,response
0,speed,instant,3,0.9
0,value,nice,4,0.88
0,location,meadow,5,0.13
0,dimension,open,6,0.4
0,value,illustrious,7,0.82
0,location,far,8,0.67
0,other,horned,9,0.21
0,value,super,10,0.88
0,dimension,weeny,11,0.79
0,color,yellow,12,0.1
0,physical,shiny,13,0.39
0,location,back,14,0.53
0,dimension,short,15,0.69
0,other,exact,16,0.75
0,dimension,little,17,0.72
0,dimension,wide,18,0.78
0,color,white,19,0.3
0,physical,heavy,20,0.79
0,color,tawny,21,0.47
0,physical,rough,22,0.62
0,human,vicious,23,0.71
0,physical,strong,24,0.73
0,other,different,25,0.87
0,human,live,26,0.29
0,temporal,last,27,0.53
0,physical,damp,28,0.59
0,value,posh,29,0.81
0,dimension,skinny,30,0.75
0,other,ready,31,0.63
0,other,pretend,32,0.34
1,physical,bumpy,3,0.73
1,physical,bald,4,0.08
1,value,alright,5,0.67
1,physical,sharp,6,0.16
1,other,fake,7,0.23
1,shape,squiggly,8,0.68
1,human,merry,9,0.67
1,human,naughty,10,0.69
1,material,haired,11,0.42
1,dimension,flat,12,0.06
1,other,stinky,13,0.27
1,human,sad,14,0.52
1,physical,smooth,15,0.43
1,other,true,16,0.19
1,other,messy,17,0.73
1,value,yummy,18,0.78
1,color,orange,19,0.12
1,physical,damp,20,0.2
1,location,upstairs,21,0.13
1,value,rotten,22,0.18
1,physical,sparkly,23,0.44
1,value,pathetic,24,0.76
1,dimension,itsy,25,0.64
1,age,new,26,0.1
1,other,steady,27,0.5
1,shape,square,28,0.1
1,dimension,itty,29,0.5
1,human,vain,30,0.52
1,value,handy,31,0.64
1,value,pretty,32,0.71
2,dimension,gigantic,3,0.76
2,location,glottal,4,0.13
2,value,exciting,5,0.77
2,human,wicked,6,0.84
2,value,dandy,7,0.85
2,physical,quiet,8,0.61
2,value,bad,9,0.69
2,location,east,10,0.06
2,human,healthy,11,0.7
2,physical,crisp,12,0.77
2,physical,squeaky,13,0.65
2,human,cross,14,0.57
2,speed,instant,15,0.16
2,nationality,English,16,0.16
2,color,wan,17,0.61
2,material,wool,18,0.16
2,other,choice,19,0.73
2,location,side,20,0.07
2,value,crummy,21,0.63
2,location,western,22,0.18
2,human,merry,23,0.6
2,temporal,past,24,0
2,human,vain,25,0.6
2,human,dead,26,0.09
2,value,dulcet,27,0.67
2,dimension,wee,28,0.58
2,shape,square,29,0.43
2,physical,warm,30,0.21
2,physical,spicey,31,0.65
2,dimension,flat,32,0.24
3,physical,crunchy,3,0.83
3,value,poop,4,0
3,value,regular,5,0.95
3,human,vicious,6,0.83
3,value,special,7,0.85
3,value,beautiful,8,0.97
3,dimension,tubby,9,0.99
3,value,nice,10,0.76
3,temporal,late,11,0.12
3,nationality,English,12,0.01
3,physical,full,13,0.76
3,physical,shiny,14,0.72
3,value,alright,15,0.86
3,dimension,bitsy,16,0.87
3,other,messy,17,0.58
3,temporal,third,18,0
3,human,merry,19,0.9
3,dimension,big,20,0.83
3,other,horned,21,0.02
3,physical,soft,22,0.73
3,color,blue,23,0
3,value,rotten,24,0
3,other,darned,25,0.95
3,physical,crooked,26,0.71
3,other,sick,27,0.53
3,other,personal,28,0.76
3,other,real,29,0
3,human,jolly,30,0.71
3,physical,bald,31,0
3,dimension,wide,32,0.44
4,temporal,last,3,0.04
4,other,pretend,4,0.27
4,color,gray,5,0.02
4,other,part,6,0.67
4,value,just,7,0.97
4,physical,heavy,8,0.58
4,value,dandy,9,0.62
4,human,healthy,10,0.62
4,physical,damp,11,0.43
4,physical,misshapen,12,0.51
4,dimension,large,13,0.52
4,value,junk,14,0.75
4,temporal,past,15,0.06
4,value,pathetic,16,0.49
4,nationality,Mexican,17,0.01
4,color,bright,18,0.47
4,dimension,teensie,19,0.69
4,other,trick,20,0.3
4,value,scary,21,0.45
4,human,clever,22,0.52
4,other,formal,23,0.5
4,other,wiggly,24,0.19
4,human,brave,25,0.52
4,speed,speedy,26,0.54
4,physical,waterproof,27,0.06
4,location,low,28,0.67
4,dimension,wee,29,0.9
4,location,glottal,30,0.5
4,value,dulcet,31,0.53
4,other,darned,32,0.55
5,value,pathetic,3,0.97
5,color,purple,4,0.18
5,dimension,tiny,5,0.7
5,other,messy,6,0.76
5,human,dumb,7,0.8
5,color,black,8,0.04
5,location,upstairs,9,0.07
5,location,close,10,0.4
5,other,bumpity,11,0.96
5,color,orange,12,0.34
5,value,awesome,13,0.88
5,physical,sweet,14,0.94
5,value,dandy,15,0.96
5,speed,fast,16,0.94
5,other,obvious,17,0.72
5,value,just,18,0.4
5,temporal,late,19,0.63
5,other,whole,20,0.66
5,value,cozy,21,0.9
5,physical,squeaky,22,0.93
5,location,western,23,0.47
5,color,clear,24,0.83
5,location,meadow,25,0.1
5,nationality,Dutch,26,0.51
5,human,live,27,0.4
5,human,sorry,28,0.96
5,human,goofy,29,0.99
5,human,fierce,30,0.95
5,value,alright,31,0.46
5,physical,heavy,32,0.76
6,physical,squeaky,3,0.2
6,other,formal,4,0.66
6,value,bonnie,5,0.8
6,value,poop,6,0.5
6,color,grey,7,0.07
6,temporal,late,8,0.83
6,value,wrong,9,0.59
6,dimension,long,10,0.8
6,value,crummy,11,0.77
6,speed,speedy,12,0.86
6,human,grumpy,13,0.94
6,color,golden,14,0.49
6,material,iron,15,0
6,physical,sweet,16,0.71
6,human,lazy,17,0.82
6,physical,bumpy,18,0.2
6,other,same,19,0.32
6,physical,light,20,0.8
6,human,gracious,21,0.88
6,human,healthy,22,0.75
6,age,teenage,23,0.12
6,dimension,itty,24,0.84
6,value,cute,25,0.86
6,other,busy,26,0.92
6,value,odd,27,0.83
6,location,side,28,0.44
6,other,musical,29,0.76
6,other,still,30,0.8
6,location,south,31,0.03
6,value,alright,32,0.83
7,color,red,3,0.2
7,location,meadow,4,0.07
7,physical,sparkly,5,0.58
7,dimension,wee,6,0.77
7,location,polar,7,0.5
7,value,illustrious,8,0.65
7,value,plain,9,0.61
7,human,cross,10,0.08
7,color,bright,11,0.18
7,physical,cool,12,0.99
7,color,orange,13,0.15
7,location,high,14,0.35
7,value,regular,15,0.98
7,physical,fragile,16,0.3
7,dimension,teensie,17,0.86
7,value,great,18,0.9
7,human,hungry,19,0.37
7,physical,loud,20,0.66
7,human,human,21,0.1
7,human,smiley,22,0.25
7,physical,hollow,23,0.17
7,dimension,fat,24,0.69
7,human,smart,25,0.84
7,human,grouchy,26,0.19
7,dimension,open,27,0.51
