date,workerid,amount
Wed Oct 11 13:58:23 PDT 2017,AVOF14300525D,0.3
Wed Oct 11 14:00:03 PDT 2017,A2GE0813KOHJUU,0.3
Wed Oct 11 14:01:08 PDT 2017,A3RRXGT8DUJYSA,0.3
Wed Oct 11 14:01:08 PDT 2017,A1PF01FF85HUY4,0.3
Wed Oct 11 14:01:13 PDT 2017,A300RDXQAYZ6VR,0.3
Wed Oct 11 14:01:40 PDT 2017,A18M1IAKPX9XQT,0.3
Wed Oct 11 14:03:05 PDT 2017,A3LSUDNSJTQRAP,0.3
Wed Oct 11 14:13:50 PDT 2017,A22VGT2F28LTWC,0.3
Wed Oct 11 14:41:12 PDT 2017,A34Z3DVUOHC61R,0.3
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
