workerid,class,predicate,slide_number,response,language,enjoyment,gender,age,comments,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,size,small,3,0.46,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,quality,nasty,4,0.56,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,color,brown,5,0.45,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,age,fresh,6,0.63,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,texture,right,7,0.47,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,size,thin,8,0.64,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,size,little,9,0.43,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,color,blue,10,0.54,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,color,purple,11,0.4,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
0,size,wide,12,0.55,,-1,,,,-1,Mac,1440,2560,Safari,3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3U20ZGNLAORK4CEIQ2CY88R2FUS7D8,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Aug 02 14:28:27 PDT 2017,9,5,3,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Sep 01 14:28:27 PDT 2017,https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PZLYYXF9KDMMRRKM0GBKPL,3IRIK4HM3BPASDJA36BGMSBDC19C61,0,Submitted,Thu Aug 03 07:15:06 PDT 2017,Wed Aug 02 14:34:38 PDT 2017,Wed Aug 02 14:35:06 PDT 2017,,,,,,[],0.43066666666666664
