date,workerid,amount
Wed Oct 11 13:50:58 PDT 2017,A3U05VDP63V501,0.3
Wed Oct 11 13:52:09 PDT 2017,A1KRO0JWU6LT0I,0.3
Wed Oct 11 13:55:49 PDT 2017,A33QI63NVR8CUO,0.3
Wed Oct 11 13:59:26 PDT 2017,A1SISILL2H1LOX,0.3
Wed Oct 11 14:00:38 PDT 2017,A26RO8GGTQAXGG,0.3
Wed Oct 11 14:02:41 PDT 2017,A2RBNMRC6942T0,0.3
Wed Oct 11 14:03:56 PDT 2017,A1VJN1Y35LDNPE,0.3
Wed Oct 11 14:13:10 PDT 2017,AT6LDQNLKTUSE,0.3
Wed Oct 11 14:44:53 PDT 2017,A2OVIHW0FX4AJK,0.3
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
