workerid,class,predicate,slide_number,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.time_in_minutes,Answer.catch_trials
0,human,hungry,3,0.21,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,nationality,American,4,0.09,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,dimension,long,5,0.7,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,age,ripe,6,0,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,physical,bald,7,0,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,physical,hard,8,0.57,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,value,neat,9,0.55,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,location,side,10,0,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,human,famous,11,0.01,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,dimension,itty,12,0.55,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,physical,misshapen,13,0.68,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,value,delicious,14,0.71,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,other,whole,15,0,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,value,exciting,16,0.64,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,dimension,huge,17,0.73,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,human,goofy,18,0.6,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,physical,empty,19,0.21,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,color,white,20,0.63,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
0,material,wool,21,0,english,2,Male,42,no comments,Yes,3,Windows,1080,1920,Chrome,3ICOHX7ENCGSOGJF76028CQ6NEG0E0,38O8SQPJLPT8W4Q0UV9DH3VRD9IUV0,Adjectives of English,Answer questions about the interpretations of adjectives,language research UCI fun cognitive science university,$0.30,Wed Oct 11 13:44:00 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Nov 10 12:44:00 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3ICOHX7ENCGSOGJF76028CQ6NEG0E0,3M0BCWMB8W1PCN6AGOXZ2JO9S63BWJ,0,Submitted,Thu Oct 12 06:36:07 PDT 2017,Wed Oct 11 13:53:36 PDT 2017,Wed Oct 11 13:56:07 PDT 2017,,,,,,2.24935,[]
