workerid,class,predicate,slide_number,response
0,age,teenage,3,0.12
0,dimension,itty,4,0.63
0,value,grand,5,0.79
0,other,wiggly,6,0.67
0,value,fun,7,0.95
0,value,tidy,8,0.79
0,shape,oval,9,0.17
0,physical,fragile,10,0.51
0,other,trick,11,0.61
0,human,naughty,12,0.89
0,material,silk,13,0.02
0,dimension,bitsy,14,0.73
0,nationality,French,15,0.56
0,physical,dry,16,0.34
0,value,dear,17,0.73
0,color,green,18,0.41
0,value,posh,19,0.84
0,human,mad,20,0.71
0,dimension,gigantic,21,0.69
0,age,fresh,22,0.47
0,human,wicked,23,0.74
0,value,horrible,24,0.85
0,other,roundabout,25,0.3
0,other,wriggly,26,0.69
0,dimension,weeny,27,0.92
0,human,silly,28,0.89
0,color,purple,29,0.5
0,value,brilliant,30,0.93
0,other,choice,31,0.51
0,color,black,32,0.61
1,value,fantastic,3,0.95
1,nationality,Mexican,4,0.19
1,value,comfy,5,1
1,nationality,Chinese,6,0.14
1,dimension,huge,7,1
1,value,brilliant,8,1
1,human,dead,9,0.12
1,value,poop,10,0.5
1,physical,damp,11,0.96
1,human,dumb,12,0.95
1,value,odd,13,0.48
1,dimension,tall,14,0.9
1,other,real,15,0.48
1,other,trick,16,0.66
1,dimension,thick,17,0.9
1,physical,dry,18,1
1,dimension,skinny,19,1
1,human,fair,20,1
1,physical,clean,21,1
1,location,upstairs,22,0
1,location,central,23,0.19
1,human,human,24,0.49
1,location,bottom,25,0.07
1,nationality,American,26,0.15
1,other,even,27,0.48
1,temporal,third,28,0
1,temporal,second,29,0
1,dimension,weensie,30,1
1,human,greedy,31,1
1,other,musical,32,0.75
2,value,ugly,3,0.98
2,physical,sweet,4,0.77
2,other,wiggly,5,0.76
2,value,nice,6,0.79
2,color,pale,7,0.51
2,color,tan,8,0.48
2,human,maternal,9,0.67
2,physical,squeaky,10,0.71
2,physical,cold,11,0.63
2,human,jolly,12,0.71
2,value,alright,13,0.49
2,human,hungry,14,0.62
2,other,true,15,0.5
2,dimension,chubby,16,0.66
2,value,poop,17,0.48
2,other,roundabout,18,0.56
2,location,western,19,0.59
2,human,goofy,20,0.79
2,human,kind,21,0.75
2,value,right,22,0.8
2,dimension,bitsy,23,0.62
2,value,delicious,24,0.89
2,dimension,tall,25,0.71
2,nationality,Dutch,26,0.02
2,human,cranky,27,0.64
2,human,merry,28,0.67
2,value,handy,29,0.58
2,value,bonnie,30,0.02
2,human,mean,31,0.66
2,human,silly,32,0.71
3,human,innocent,3,1
3,physical,cold,4,0.98
3,speed,speedy,5,0.47
3,value,awesome,6,0.97
3,physical,clean,7,0.98
3,material,concrete,8,0.51
3,dimension,fat,9,0.97
3,other,whole,10,0.98
3,dimension,weeny,11,0.97
3,human,wise,12,0.96
3,other,pokey,13,0.52
3,other,wriggly,14,0.04
3,value,horrible,15,0.82
3,human,jolly,16,0.68
3,temporal,third,17,0.01
3,color,golden,18,0.47
3,color,black,19,0.01
3,human,sneaky,20,0.99
3,color,tan,21,0.97
3,value,nifty,22,0.99
3,value,posh,23,1
3,other,sore,24,0.97
3,value,super,25,0.97
3,physical,delicate,26,0.96
3,physical,sharp,27,0.97
3,nationality,Mexican,28,0.01
3,dimension,podgy,29,0.97
3,color,clear,30,0.97
3,value,great,31,0.98
3,value,proper,32,0.98
4,value,dulcet,3,0.52
4,other,multiple,4,0.86
4,value,nasty,5,0.84
4,value,neat,6,0.83
4,value,cute,7,0.1
4,location,east,8,0.89
4,dimension,big,9,0.84
4,other,trick,10,0.88
4,physical,squeaky,11,0.83
4,other,glitzy,12,0.2
4,physical,wet,13,0.83
4,human,sorry,14,0.8
4,value,fancy,15,0.9
4,human,maternal,16,0.13
4,other,part,17,0.83
4,location,south,18,0.72
4,human,grouchy,19,0.5
4,shape,round,20,0.21
