workerid,language,enjoyment,gender,age,comments,asses,education
0,english,2,Male,31,,Yes,2
1,english,2,Male,34,,Yes,4
2,English,2,Male,25,,Yes,2
3,English,2,Female,32,,Yes,4
4,English,2,Male,21,,Yes,2
5,English,2,Female,31,Fun,Yes,2
6,English,1,Male,20,,No,2
7,English,1,Female,27,"Interesting survey, but not sure what it was trying to test or detect.  Thanks!",Yes,4
8,english,1,Female,45,,Yes,0
9,english,2,Male,54,,NA,4
10,Bosnian,2,Male,23,,Yes,3
11,English,2,Male,21,,Yes,2
12,English,2,Female,62,,Yes,1
13,English,1,Male,25,,Yes,3
14,English,2,Male,40,,Yes,3
15,English,2,Male,34,No comments,Yes,3
16,English,1,Female,67,none,Yes,2
17,English,2,Female,39,fun hit!,Yes,2
18,English,2,Male,24,This was good.,Yes,2
19,English,2,Male,24,,Yes,0
20,English,2,Male,23,,Yes,2
21,English,2,Male,34,,Yes,3
22,English,2,Female,34,"No comments, thank you!",Yes,3
23,English,1,Male,32,thanks,Yes,2
24,English,2,Female,20,,Yes,2
25,English,2,Male,33,,Yes,3
26,english,2,Male,60,,Yes,3
27,English,2,Male,22,,Yes,2
28,Russian,2,Female,37,It was fun and fast. Thank you!,No,3
29,English,2,Male,22,,Yes,3
