adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,input strings,output strings
heavy,7,physical,0.5725,input,0.19288994726994391,0.9375,0.68753189317911212,0.49464194590916821,2,"pretty heavy ,big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,","big heavy ,"
cute,10,value,0.787272727272727,input,0.1909970475088405,0.86974079639368906,0.65753302594033747,0.46653597843149697,2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,","cute little ,cute little ,cute little ,"
naughty,4,human,0.723,input,-0.26287394063535952,0.65610000000000002,0.0022802265895157086,0.26515416722487523,2,"naughty little ,naughty little ,naughty little ,naughty little ,","naughty little ,naughty little ,naughty little ,naughty little ,"
old,53,age,0.646666666666667,input,0.15405169490580756,0.23879313667961824,0.15408800563282701,3.6310727019465635e-05,2,"old next ,good old ,good old ,old empty ,poor old ,good old ,good old ,big old ,merry old ,old wicked ,old dirty ,old dirty ,old dirty ,old dirty ,wee old ,wee old ,wee old ,wee old ,fun old ,fun old ,big old ,big old ,big old ,big old ,big old ,neat old ,big old ,little old ,big old ,little old ,fun old ,fun old ,nasty old ,fun old ,old podgy ,dear old ,old grey ,old grey ,good old ,good old ,good old ,good old ,good old ,good old ,poor old ,poor old ,poor old ,little old ,poor old ,poor old ,little old ,little old ,big old ,","merry old ,nasty old ,nasty old ,little old ,big old ,big old ,big old ,big old ,poor old ,poor old ,poor old ,poor old ,old grey ,old mean ,stupid old ,"
just,2,value,0.60125,lexical,0.3981508706335215,0.027777777777777776,0.75441126972267647,0.35626039908915497,2,"good just ,okay just ,","just little ,just little ,"
brown,91,color,0.29875,input,0.038633248784022488,0.37921550304521889,0.077252534448699214,0.038619285664676727,2,"big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,brown orange ,brown grey ,brown grey ,big brown ,big brown ,little brown ,little brown ,little brown ,little brown ,little brown ,","merry brown ,merry brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,"
weensie,3,dimension,0.763125,input,5.7317577360853681e-06,0.13493381373857005,5.732609372758427e-06,8.5163667305916611e-10,2,"eensie weensie ,eensie weensie ,eensie weensie ,","eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,eensie weensie ,"
fluffy,21,physical,0.573333333333333,input,0.20539055791922339,0.69636316679188581,0.32627071247423578,0.12088015455501237,2,"soft fluffy ,big fluffy ,big fluffy ,big fluffy ,white fluffy ,big fluffy ,white fluffy ,fluffy pink ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,fluffy pink ,big fluffy ,nice fluffy ,","little fluffy ,fair fluffy ,fair fluffy ,"
hard,6,physical,0.428181818181818,input,-0.012235414043206494,0.86224489795918369,0.47261241280869531,0.48484782685190181,2,"jolly hard ,pretty hard ,pretty hard ,big hard ,pretty hard ,pretty hard ,","big hard ,big hard ,"
back,1,location,0.297142857142857,sub,-0.073332201663554586,0.25,0.79307418095399762,0.86640638261755221,2,"back next ,","fun back ,"
yellow,58,color,0.343333333333333,sub,-0.17590596782365645,4.8579874752619878e-05,0.046698579159730136,0.22260454698338658,2,"little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,special yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,round yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,big yellow ,soft yellow ,little yellow ,little yellow ,big yellow ,little yellow ,big yellow ,green yellow ,nice yellow ,big yellow ,","yellow green ,yellow green ,big yellow ,yellow big ,red yellow ,big yellow ,big yellow ,little yellow ,little yellow ,"
sad,4,human,0.567777777777778,input,0.36586419543660753,0.81000000000000005,0.61070838768263713,0.2448441922460296,2,"big sad ,big sad ,big sad ,little sad ,","big sad ,big sad ,"
high,1,location,0.428181818181818,lexical,0.14458279176326133,0.5625,0.62896665649585415,0.48438386473259282,2,"wee high ,","big high ,big high ,"
good,70,value,0.78125,input,-0.072598359464420947,0.32852196495776881,0.039635180422814657,0.1122335398872356,2,"good big ,pretty good ,good little ,good little ,good just ,jolly good ,good old ,good old ,good long ,good long ,good long ,jolly good ,jolly good ,good old ,jolly good ,jolly good ,jolly good ,good long ,mean good ,jolly good ,good old ,good big ,good big ,good long ,jolly good ,good big ,good big ,pretty good ,good little ,good little ,good wee ,pretty good ,good wee ,good wee ,good wee ,good wee ,pretty good ,good fresh ,good black ,pretty good ,pretty good ,good fresh ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good old ,good old ,good old ,good old ,good old ,good old ,first good ,good little ,good little ,good last ,pretty good ,pretty good ,good okay ,pretty good ,pretty good ,pretty good ,good little ,pretty good ,pretty good ,pretty good ,","fresh good ,good little ,big good ,"
