adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,strings
cute,22,value,0.787272727,sub,-0.005904022,1.09E-06,0.004924897,0.010828919,4,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
naughty,3,human,0.723,lexical,0.557624632,0.015625,0.656000681,0.098376049,4,"naughty little ,naughty little ,naughty little ,"
old,34,age,0.646666667,lexical,0.129433918,0.004696422,0.129566537,0.000132619,4,"big old ,mean old ,mean old ,big old ,mean old ,mean old ,mean old ,wise old ,wise old ,wise old ,mean old ,mean old ,wise old ,royal old ,nasty old ,fun old ,fun old ,big old ,big old ,little old ,wicked old ,little old ,fun old ,poor old ,poor old ,dirty old ,old narrow ,old narrow ,dirty old ,dirty old ,poor old ,big old ,grand old ,old grey ,"
fun,21,value,0.872857143,input,0.023615405,0.087293388,0.034873703,0.011258298,4,"super fun ,super fun ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun old ,fun old ,fun old ,fun little ,fun little ,fun little ,little fun ,pretty fun ,big fun ,big fun ,"
just,13,value,0.60125,lexical,0.380755779,0.153744534,0.534650161,0.153894382,4,"alright just ,blue just ,just young ,okay just ,just young ,just young ,just young ,just young ,just young ,okay just ,okay just ,okay just ,just young ,"
sweet,6,physical,0.724666667,lexical,0.192387787,1.86E-06,0.195253241,0.002865454,4,"sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,"
back,3,location,0.297142857,sub,-0.151106181,0.244140625,0.572340699,0.72344688,4,"little back ,huge back ,back next ,"
yellow,10,color,0.343333333,input,-0.214539597,0.42853118,0.198486756,0.413026352,4,"yellow green ,yellow green ,big yellow ,plain yellow ,yellow green ,yellow green ,bright yellow ,big yellow ,little yellow ,big yellow ,"
bright,3,color,0.464,lexical,0.378964954,0.390625,0.846946329,0.467981375,4,"big bright ,big bright ,bright yellow ,"
tiny,41,dimension,0.414444444,sub,-0.139515295,0.041009657,0.004567612,0.144082907,4,"little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,little tiny ,little tiny ,teeny tiny ,little tiny ,little tiny ,tiny little ,teeny tiny ,little tiny ,little tiny ,tiny little ,tiny little ,teeny tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny silver ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,"
dear,1,value,0.61,lexical,0.271994844,0.75,0.809216887,0.537222043,4,"dear little ,"
sharp,2,physical,0.417272727,input,-0.00193486,0.833333333,0.720735247,0.722670106,4,"big sharp ,little sharp ,"
cold,N/A,physical,0.69,N/A,0,0.25,0.25,0.25,4,
jolly,17,human,0.675714286,input,-0.397599268,0.945216049,0.035057106,0.432656374,4,"jolly loud ,jolly good ,jolly good ,jolly big ,jolly nice ,jolly nice ,jolly big ,jolly nice ,jolly nice ,jolly good ,jolly nice ,jolly nice ,jolly long ,jolly tall ,jolly nice ,jolly nice ,jolly long ,"
open,1,dimension,0.422857143,sub,-0.206574283,0.25,0.515952304,0.722526587,4,"open little ,"
tan,N/A,color,0.566,N/A,0,0.5,0.5,0.5,4,
special,1,value,0.68,lexical,0.224313294,0.0625,0.65483197,0.430518676,4,"big special ,"
pink,N/A,color,0.1075,N/A,0,0.375,0.375,0.375,4,
teeny,8,dimension,0.531818182,sub,-0.016936034,0.219642797,0.321853173,0.338789207,4,"teeny little ,teeny tiny ,teeny tiny ,teeny tiny ,little teeny ,little teeny ,little teeny ,teeny little ,"
