adj,freq,class,subjectivity,input_score,lexical_score,sub_score,age,strings
cute,22,value,0.787272727272727,1.0924293500206533e-06,0.0049248968230592629,0.01082891913001743,4,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
naughty,3,human,0.723,0.015625,0.65600068139687617,0.098376049233006774,4,"naughty little ,naughty little ,naughty little ,"
old,34,age,0.646666666666667,0.0046964216710587564,0.12956653653188874,0.0001326188532523243,4,"big old ,mean old ,mean old ,big old ,mean old ,mean old ,mean old ,wise old ,wise old ,wise old ,mean old ,mean old ,wise old ,royal old ,nasty old ,fun old ,fun old ,big old ,big old ,little old ,wicked old ,little old ,fun old ,poor old ,poor old ,dirty old ,old narrow ,old narrow ,dirty old ,dirty old ,poor old ,big old ,grand old ,old grey ,"
fun,21,value,0.872857142857143,0.087293388429752039,0.034873702950841114,0.011258297698489518,4,"super fun ,super fun ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun old ,fun old ,fun old ,fun little ,fun little ,fun little ,little fun ,pretty fun ,big fun ,big fun ,"
just,13,value,0.60125,0.15374453352769679,0.53465016066813809,0.15389438199038133,4,"alright just ,blue just ,just young ,okay just ,just young ,just young ,just young ,just young ,just young ,okay just ,okay just ,okay just ,just young ,"
sweet,6,physical,0.724666666666667,1.8593443208187024e-06,0.19525324098158142,0.002865453966010045,4,"sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,"
back,3,location,0.297142857142857,0.244140625,0.57234069944509558,0.72344688040782834,4,"little back ,huge back ,back next ,"
yellow,10,color,0.343333333333333,0.42853117956423731,0.19848675552290113,0.41302635247045222,4,"yellow green ,yellow green ,big yellow ,plain yellow ,yellow green ,yellow green ,bright yellow ,big yellow ,little yellow ,big yellow ,"
bright,3,color,0.464,0.390625,0.84694632885458576,0.46798137529088746,4,"big bright ,big bright ,bright yellow ,"
tiny,41,dimension,0.414444444444444,0.041009656833852569,0.00456761166443797,0.14408290703894053,4,"little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,tiny little ,little tiny ,little tiny ,teeny tiny ,little tiny ,little tiny ,tiny little ,teeny tiny ,little tiny ,little tiny ,tiny little ,tiny little ,teeny tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny silver ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,"
dear,1,value,0.61,0.75,0.809216886883661,0.53722204318401545,4,"dear little ,"
sharp,2,physical,0.417272727272727,0.83333333333333337,0.72073524669461464,0.72267010641728469,4,"big sharp ,little sharp ,"
cold,N/A,physical,0.69,0.25,0.25,0.25,4,
jolly,17,human,0.675714285714286,0.94521604938271597,0.035057105572969094,0.43265637377676547,4,"jolly loud ,jolly good ,jolly good ,jolly big ,jolly nice ,jolly nice ,jolly big ,jolly nice ,jolly nice ,jolly good ,jolly nice ,jolly nice ,jolly long ,jolly tall ,jolly nice ,jolly nice ,jolly long ,"
open,1,dimension,0.422857142857143,0.25,0.51595230422172089,0.72252658717370288,4,"open little ,"
tan,N/A,color,0.566,0.5,0.5,0.5,4,
special,1,value,0.68,0.0625,0.65483197001768378,0.43051867616599654,4,"big special ,"
pink,N/A,color,0.1075,0.375,0.375,0.375,4,
teeny,8,dimension,0.531818181818182,0.21964279666040062,0.32185317300112759,0.33878920731488138,4,"teeny little ,teeny tiny ,teeny tiny ,teeny tiny ,little teeny ,little teeny ,little teeny ,teeny little ,"
