adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,22,value,1.0,0.787272727272727,4,child-directed
just,15,value,0.6,0.60125,4,child-directed
yellow,10,color,0.4,0.343333333333333,4,child-directed
awful,7,value,1.0,0.641666666666667,4,child-directed
bright,3,color,0.5,0.464,4,child-directed
naughty,3,human,1.0,0.723,4,child-directed
still,1,other,1.0,0.226666666666667,4,child-directed
busy,4,other,0.5,0.683333333333333,4,child-directed
chinese,3,nationality,0.3333333333333333,0.12,4,child-directed
personal,1,other,0.0,0.444,4,child-directed
royal,1,human,1.0,0.4925,4,child-directed
young,19,age,0.13636363636363635,0.551538461538462,4,child-directed
late,8,temporal,0.875,0.422307692307692,4,child-directed
black,7,color,0.0,0.269,4,child-directed
pretty,62,value,0.967741935483871,0.863333333333333,4,child-directed
weensie,4,dimension,1.0,0.763125,4,child-directed
orange,5,color,0.4,0.301538461538462,4,child-directed
east,2,location,0.0,0.202222222222222,4,child-directed
smart,3,human,0.0,0.596666666666667,4,child-directed
brown,17,color,0.058823529411764705,0.29875,4,child-directed
good,46,value,0.47058823529411764,0.78125,4,child-directed
far,1,location,1.0,0.609473684210526,4,child-directed
big,148,dimension,0.7213114754098361,0.691666666666667,4,child-directed
fat,4,dimension,0.2,0.619375,4,child-directed
dark,8,color,0.0,0.315,4,child-directed
front,3,location,0.0,0.254,4,child-directed
nasty,2,value,1.0,0.757142857142857,4,child-directed
exact,2,other,0.5,0.281,4,child-directed
silver,2,color,0.0,0.251111111111111,4,child-directed
cool,6,physical,0.3333333333333333,0.678125,4,child-directed
wooden,2,material,0.0,0.255454545454545,4,child-directed
large,3,dimension,1.0,0.548181818181818,4,child-directed
bad,8,value,0.0,0.71625,4,child-directed
double,1,other,0.0,0.053,4,child-directed
small,24,dimension,0.7083333333333334,0.513,4,child-directed
soft,16,physical,0.875,0.572222222222222,4,child-directed
round,3,shape,0.0,0.23875,4,child-directed
mean,9,human,1.0,0.712727272727273,4,child-directed
heavy,6,physical,0.16666666666666666,0.5725,4,child-directed
right,2,value,1.0,0.637777777777778,4,child-directed
old,37,age,0.17777777777777778,0.646666666666667,4,child-directed
fluffy,9,physical,0.0,0.573333333333333,4,child-directed
hard,2,physical,0.0,0.428181818181818,4,child-directed
back,3,location,0.3333333333333333,0.297142857142857,4,child-directed
dead,1,human,0.0,0.14,4,child-directed
second,1,temporal,0.0,0.0675,4,child-directed
glottal,1,location,0.0,0.482,4,child-directed
dear,1,value,1.0,0.61,4,child-directed
special,1,value,0.0,0.68,4,child-directed
blue,11,color,0.21428571428571427,0.346666666666667,4,child-directed
purple,3,color,0.0,0.2405,4,child-directed
jolly,17,human,1.0,0.675714285714286,4,child-directed
teeny,8,dimension,0.625,0.531818181818182,4,child-directed
new,7,age,0.42857142857142855,0.265,4,child-directed
red,33,color,0.11428571428571428,0.174166666666667,4,child-directed
thin,11,dimension,0.0,0.571538461538462,4,child-directed
cozy,1,value,1.0,0.683333333333333,4,child-directed
french,2,nationality,0.0,0.278888888888889,4,child-directed
wild,1,value,0.0,0.636428571428571,4,child-directed
slow,1,speed,0.0,0.504285714285714,4,child-directed
strong,3,physical,0.0,0.64375,4,child-directed
super,2,value,1.0,0.770833333333333,4,child-directed
scary,1,value,0.0,0.723333333333333,4,child-directed
great,46,value,0.9574468085106383,0.838,4,child-directed
central,3,location,0.0,0.3275,4,child-directed
quiet,1,physical,0.0,0.36875,4,child-directed
side,2,location,0.0,0.271,4,child-directed
american,1,nationality,1.0,0.367857142857143,4,child-directed
misshapen,1,physical,0.0,0.487142857142857,4,child-directed
narrow,2,dimension,0.0,0.6325,4,child-directed
whole,6,other,1.0,0.353636363636364,4,child-directed
first,1,temporal,0.0,0.141818181818182,4,child-directed
golden,3,color,0.0,0.33625,4,child-directed
fantastic,1,value,0.0,0.6725,4,child-directed
own,8,other,1.0,0.253333333333333,4,child-directed
sweet,6,physical,1.0,0.724666666666667,4,child-directed
fancy,1,value,0.5,0.673636363636364,4,child-directed
hollow,1,physical,0.0,0.221428571428571,4,child-directed
square,1,shape,0.0,0.384285714285714,4,child-directed
tiny,41,dimension,0.3953488372093023,0.414444444444444,4,child-directed
delicious,1,value,0.0,0.789285714285714,4,child-directed
thick,1,dimension,0.0,0.596153846153846,4,child-directed
open,1,dimension,1.0,0.422857142857143,4,child-directed
little,248,dimension,0.352112676056338,0.413571428571429,4,child-directed
top,1,location,1.0,0.135714285714286,4,child-directed
long,29,dimension,0.34375,0.556428571428571,4,child-directed
next,1,temporal,0.0,0.281,4,child-directed
live,1,human,0.0,0.174615384615385,4,child-directed
white,5,color,0.2222222222222222,0.281428571428571,4,child-directed
happy,4,human,0.2,0.43,4,child-directed
flat,3,dimension,0.0,0.256,4,child-directed
head,1,other,0.0,0.288,4,child-directed
tawny,1,color,0.0,0.505,4,child-directed
sore,2,other,0.0,0.69,4,child-directed
warm,13,physical,0.1875,0.6675,4,child-directed
last,17,temporal,0.0,0.39,4,child-directed
wide,8,dimension,0.0,0.443,4,child-directed
wool,1,material,0.0,0.287,4,child-directed
wise,4,human,1.0,0.753846153846154,4,child-directed
plain,1,value,1.0,0.571428571428571,4,child-directed
pretend,3,other,0.0,0.435,4,child-directed
grey,4,color,0.0,0.2810714285714285,4,child-directed
silly,1,human,0.0,0.655,4,child-directed
dirty,3,physical,1.0,0.504,4,child-directed
fun,21,value,0.7272727272727273,0.872857142857143,4,child-directed
wicked,1,human,1.0,0.674444444444444,4,child-directed
beautiful,25,value,0.8421052631578947,0.935714285714286,4,child-directed
ripe,1,age,0.0,0.241666666666667,4,child-directed
sad,1,human,0.0,0.567777777777778,4,child-directed
gentle,1,human,0.0,0.573846153846154,4,child-directed
sharp,2,physical,0.0,0.417272727272727,4,child-directed
huge,6,dimension,0.3333333333333333,0.624285714285714,4,child-directed
different,1,other,0.5,0.771428571428571,4,child-directed
loud,10,physical,0.0,0.48,4,child-directed
itsy,1,dimension,1.0,0.656666666666667,4,child-directed
same,10,other,0.9,0.30875,4,child-directed
hot,10,physical,0.1,0.403,4,child-directed
strange,1,value,1.0,0.757777777777778,4,child-directed
sick,3,other,1.0,0.344285714285714,4,child-directed
grand,4,value,1.0,0.747142857142857,4,child-directed
yucky,5,value,0.0,0.711666666666667,4,child-directed
nice,164,value,0.949438202247191,0.725833333333333,4,child-directed
poor,26,value,1.0,0.53,4,child-directed
even,3,other,0.6666666666666666,0.427142857142857,4,child-directed
okay,4,value,1.0,0.88,4,child-directed
wrong,3,value,1.0,0.452222222222222,4,child-directed
regular,1,value,1.0,0.651111111111111,4,child-directed
bitsy,1,dimension,0.0,0.66,4,child-directed
tall,13,dimension,0.8,0.675882352941176,4,child-directed
short,5,dimension,0.8,0.54,4,child-directed
natural,1,other,0.0,0.499,4,child-directed
light,3,physical,0.0,0.562,4,child-directed
medical,1,other,0.0,0.3,4,child-directed
hungry,1,human,1.0,0.473333333333333,4,child-directed
green,104,color,0.009523809523809525,0.208461538461538,4,child-directed
clean,3,physical,0.0,0.589230769230769,4,child-directed
english,4,nationality,0.5,0.191111111111111,4,child-directed
alright,4,value,0.75,0.623571428571429,4,child-directed
fresh,7,age,0.1111111111111111,0.448181818181818,4,child-directed
cute,5,value,0.2,0.787272727272727,4,child-produced
just,3,value,1.0,0.60125,4,child-produced
yellow,3,color,0.3333333333333333,0.343333333333333,4,child-produced
bright,2,color,0.7777777777777778,0.464,4,child-produced
naughty,2,human,0.0,0.723,4,child-produced
cold,2,physical,0.0,0.69,4,child-produced
giant,2,dimension,0.5,0.622222222222222,4,child-produced
busy,3,other,1.0,0.683333333333333,4,child-produced
royal,2,human,0.5,0.4925,4,child-produced
late,1,temporal,1.0,0.422307692307692,4,child-produced
black,4,color,0.0,0.269,4,child-produced
pretty,4,value,1.0,0.863333333333333,4,child-produced
orange,3,color,0.3333333333333333,0.301538461538462,4,child-produced
sorry,1,human,1.0,0.68,4,child-produced
east,1,location,0.0,0.202222222222222,4,child-produced
brown,4,color,0.5,0.29875,4,child-produced
good,8,value,0.25,0.78125,4,child-produced
big,83,dimension,0.8297872340425532,0.691666666666667,4,child-produced
fat,7,dimension,0.0,0.619375,4,child-produced
awful,1,value,1.0,0.641666666666667,4,child-produced
exact,1,other,1.0,0.281,4,child-produced
cool,1,physical,1.0,0.678125,4,child-produced
crisp,1,physical,0.0,0.614285714285714,4,child-produced
wooden,1,material,0.0,0.255454545454545,4,child-produced
bad,17,value,0.47058823529411764,0.71625,4,child-produced
stupid,2,human,1.0,0.6575,4,child-produced
small,1,dimension,1.0,0.513,4,child-produced
soft,1,physical,1.0,0.572222222222222,4,child-produced
round,1,shape,0.0,0.23875,4,child-produced
mean,2,human,1.0,0.712727272727273,4,child-produced
old,32,age,0.25,0.646666666666667,4,child-produced
back,3,location,0.0,0.297142857142857,4,child-produced
dead,1,human,0.0,0.14,4,child-produced
dear,1,value,1.0,0.61,4,child-produced
special,4,value,1.0,0.68,4,child-produced
blue,9,color,0.3333333333333333,0.346666666666667,4,child-produced
eensie,4,dimension,0.0,0.7175,4,child-produced
purple,2,color,1.0,0.2405,4,child-produced
slick,1,physical,1.0,0.629090909090909,4,child-produced
jolly,2,human,1.0,0.675714285714286,4,child-produced
teeny,5,dimension,0.5,0.531818181818182,4,child-produced
new,3,age,0.75,0.265,4,child-produced
red,17,color,0.17647058823529413,0.174166666666667,4,child-produced
fun,2,value,0.3333333333333333,0.872857142857143,4,child-produced
french,1,nationality,0.0,0.278888888888889,4,child-produced
quick,1,speed,0.0,0.561111111111111,4,child-produced
spare,1,other,0.0,0.16375,4,child-produced
strong,15,physical,0.0,0.64375,4,child-produced
super,2,value,0.0,0.770833333333333,4,child-produced
scary,1,value,0.0,0.723333333333333,4,child-produced
great,10,value,1.0,0.838,4,child-produced
last,1,temporal,0.0,0.39,4,child-produced
undercover,2,other,0.0,0.293,4,child-produced
whole,1,other,1.0,0.353636363636364,4,child-produced
first,2,temporal,1.0,0.141818181818182,4,child-produced
own,5,other,1.0,0.253333333333333,4,child-produced
sweet,5,physical,0.0,0.724666666666667,4,child-produced
long,8,dimension,0.0,0.556428571428571,4,child-produced
open,1,dimension,0.0,0.422857142857143,4,child-produced
little,87,dimension,0.6847826086956522,0.413571428571429,4,child-produced
tiny,18,dimension,0.16666666666666666,0.414444444444444,4,child-produced
next,2,temporal,0.0,0.281,4,child-produced
live,1,human,1.0,0.174615384615385,4,child-produced
white,5,color,0.16666666666666666,0.281428571428571,4,child-produced
wicked,2,human,1.0,0.674444444444444,4,child-produced
head,2,other,0.0,0.288,4,child-produced
sore,1,other,0.0,0.69,4,child-produced
wide,2,dimension,0.5,0.443,4,child-produced
plain,2,value,0.5,0.571428571428571,4,child-produced
pretend,1,other,1.0,0.435,4,child-produced
grey,9,color,0.0,0.2810714285714285,4,child-produced
ugly,2,value,0.0,0.729166666666667,4,child-produced
silly,1,human,1.0,0.655,4,child-produced
dirty,7,physical,0.5714285714285714,0.504,4,child-produced
wild,1,value,0.0,0.636428571428571,4,child-produced
happy,3,human,0.3333333333333333,0.43,4,child-produced
sharp,1,physical,0.0,0.417272727272727,4,child-produced
tan,1,color,0.0,0.566,4,child-produced
pink,4,color,0.5,0.1075,4,child-produced
huge,1,dimension,0.0,0.624285714285714,4,child-produced
different,1,other,0.0,0.771428571428571,4,child-produced
itsy,1,dimension,1.0,0.656666666666667,4,child-produced
same,7,other,0.42857142857142855,0.30875,4,child-produced
hot,2,physical,0.0,0.403,4,child-produced
strange,1,value,1.0,0.757777777777778,4,child-produced
nice,14,value,0.8823529411764706,0.725833333333333,4,child-produced
poor,3,value,1.0,0.53,4,child-produced
even,1,other,1.0,0.427142857142857,4,child-produced
bitsy,1,dimension,0.0,0.66,4,child-produced
mad,2,human,1.0,0.554285714285714,4,child-produced
short,1,dimension,0.75,0.54,4,child-produced
light,8,physical,0.5,0.562,4,child-produced
green,12,color,0.4166666666666667,0.208461538461538,4,child-produced
tall,2,dimension,0.0,0.675882352941176,4,child-produced
