class,mean,CI1,CI2,N,age,p/d
temporal,0.19444444444444445,0.055555555555555552,0.30555555555555558,36,4,child-directed
color,0.0811965811965812,0.047008547008547008,0.11538461538461539,234,4,child-directed
age,0.19780219780219779,0.12087912087912088,0.27472527472527475,91,4,child-directed
material,0.0,0.0,0.0,3,4,child-directed
value,0.84883720930232553,0.81395348837209303,0.87596899224806202,516,4,child-directed
shape,0.0,0.0,0.0,4,4,child-directed
other,0.68000000000000005,0.52000000000000002,0.78000000000000003,50,4,child-directed
location,0.1875,0.0,0.375,16,4,child-directed
human,0.69999999999999996,0.55000000000000004,0.80000000000000004,60,4,child-directed
nationality,0.33333333333333331,0.083333333333333329,0.58333333333333337,12,4,child-directed
speed,0.0,0.0,0.0,1,4,child-directed
dimension,0.48847926267281105,0.44854070660522272,0.52534562211981561,651,4,child-directed
physical,0.3235294117647059,0.22549019607843138,0.40196078431372551,102,4,child-directed
temporal,0.42857142857142855,0.0,0.7142857142857143,7,4,child-produced
color,0.3253012048192771,0.21686746987951808,0.42168674698795183,83,4,child-produced
age,0.29545454545454547,0.15909090909090909,0.40909090909090912,44,4,child-produced
material,0.0,0.0,0.0,1,4,child-produced
value,0.6063829787234043,0.48936170212765956,0.69148936170212771,94,4,child-produced
shape,0.0,0.0,0.0,1,4,child-produced
other,0.59259259259259256,0.37037037037037035,0.7407407407407407,27,4,child-produced
location,0.0,0.0,0.0,4,4,child-produced
human,0.7142857142857143,0.42857142857142855,0.8571428571428571,21,4,child-produced
nationality,0.0,0.0,0.0,1,4,child-produced
speed,0.0,0.0,0.0,1,4,child-produced
dimension,0.63114754098360659,0.56557377049180324,0.68852459016393441,244,4,child-produced
physical,0.26666666666666666,0.13333333333333333,0.37777777777777777,45,4,child-produced
