word,av.distance,overlap ex 1,overlap ex 2,age,child p or d,tokens,semantic class
cute,1.0,0,0,4,directed,10,other
gold,0.0,0,1,4,directed,1,color
sleepy,0.0,0,0,4,directed,3,other
young,0.0,0,1,4,directed,12,age
yellow,0.16666666666666666,1,1,4,directed,24,color
bright,0.8,0,0,4,directed,5,other
own,0.6666666666666666,0,0,4,directed,6,other
same,1.0,0,0,4,directed,3,other
skin,1.0,0,0,4,directed,1,other
rough,0.0,0,0,4,directed,1,physical
jolly,1.0,0,0,4,directed,1,other
nasty,0.5,0,0,4,directed,4,value
wriggle,0.0,0,0,4,directed,1,other
slop,0.0,0,0,4,directed,1,other
just,0.6666666666666666,0,0,4,directed,3,other
wee,0.375,0,0,4,directed,8,dimension
rotten,0.0,1,0,4,directed,3,age
black,0.07692307692307693,0,1,4,directed,13,color
pretty,0.95,0,0,4,directed,20,other
orange,0.25,0,0,4,directed,8,color
east,0.0,0,0,4,directed,2,other
smart,0.5,0,0,4,directed,6,other
real,0.9230769230769231,0,0,4,directed,13,other
brown,0.10416666666666667,1,0,4,directed,48,color
good,0.5454545454545454,1,0,4,directed,22,value
waterproof,0.0,0,0,4,directed,1,other
big,0.7975708502024291,1,0,4,directed,247,dimension
dutch,0.0,0,0,4,directed,2,other
fat,0.0,0,0,4,directed,15,dimension
albino,1.0,0,0,4,directed,1,other
awful,1.0,0,0,4,directed,1,value
crisp,1.0,0,0,4,directed,1,other
bit,0.0,0,0,4,directed,4,other
handy,1.0,0,0,4,directed,1,other
cool,1.0,0,0,4,directed,1,other
huff,1.0,0,0,4,directed,1,other
fluff,0.0,0,0,4,directed,10,other
looney,0.0,0,0,4,directed,1,other
grey,0.0,0,0,4,directed,1,color
wooden,0.0,1,1,4,directed,5,material
bulge,0.0,0,0,4,directed,1,other
bad,0.06666666666666667,1,0,4,directed,15,value
fuzz,0.0,0,0,4,directed,4,other
small,0.8333333333333334,1,0,4,directed,6,dimension
soft,0.2,1,0,4,directed,5,physical
round,0.0,1,0,4,directed,5,shape
mean,0.6666666666666666,0,0,4,directed,3,other
heavy,0.0,0,0,4,directed,2,other
old,0.1111111111111111,1,1,4,directed,27,age
ole,1.0,0,0,4,directed,3,age
hard,0.0,1,0,4,directed,1,physical
back,0.0,0,0,4,directed,1,other
horn,0.0,0,0,4,directed,1,other
hair,0.0,0,0,4,directed,1,other
noise,0.5,0,0,4,directed,2,other
dear,1.0,0,0,4,directed,1,other
blue,0.0,1,1,4,directed,21,color
eensie,1.0,0,0,4,directed,1,dimension
horrid,1.0,0,0,4,directed,1,value
purple,1.0,1,1,4,directed,2,color
sun,0.0,0,0,4,directed,3,other
thirst,1.0,0,0,4,directed,1,other
loll,0.0,0,0,4,directed,2,other
teeny,0.3333333333333333,0,0,4,directed,3,dimension
sparkle,0.0,0,0,4,directed,1,other
enough,0.0,0,0,4,directed,1,other
horrible,1.0,0,0,4,directed,1,value
podgy,0.0,0,0,4,directed,1,dimension
new,0.2857142857142857,1,1,4,directed,28,age
red,0.03125,1,1,4,directed,64,color
crunch,0.0,0,0,4,directed,2,other
grease,1.0,0,0,4,directed,2,other
dirt,0.5,0,0,4,directed,2,other
